Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kyrgyzstan,3956.4235748094893,4000.3269305686827,4026.0031516889617,4024.1023824831627,3975.189831918194,3837.6815243284277,3726.991758125916,3638.583130722704,3573.964324957667,3443.963700382092,3345.93666377484,3316.2331218198656,3320.0103558242167,3364.2990014393736,3409.83573683184,3449.6073712265593,3470.041975133644,3482.0659169102705,3467.881440463356,3426.577331762111,3440.9812283892766,3508.5389866183978,3566.4495236447515,3626.284059732537,3695.0554536707973,3717.274317395333,3649.9635440027946,3709.238876570714
Laos,3125.369320472569,3188.0850045525667,3246.5841550054497,3305.937998869182,3363.7257972634197,3421.134149436257,3476.209033542932,3532.0099404600514,3578.889673735658,3613.081522041803,3642.618008938885,3684.160279256785,3693.534534927871,3717.5169423713264,3744.6780325170753,3786.825456423871,3834.972473982605,3878.7765478413453,3952.430856894353,4006.469240981853,4056.931948804419,4112.463432600201,4204.316763214967,4298.893823176537,4397.390511856097,4504.513628411914,4623.098211405711,4734.870396194699
Lebanon,3343.8238311098,3407.7374779217653,3491.4893405660223,3578.6150584630473,3642.477223685201,3723.330753987828,3803.372807696645,3896.473679541913,3983.940718713644,4046.843762275297,4142.6710279702265,4247.381766670194,4369.318680555833,4515.527453026215,4678.374960341227,4862.791689007918,5072.218951854107,5276.177046351823,5461.941535818987,5644.257075691787,5819.92825882417,6055.6575964765525,6336.976500297415,6663.377368873978,6938.306851280329,7179.40469580195,7439.096486753908,7703.127105550486
Malaysia,11280.876119316797,11592.037863823958,11905.253293272983,12170.18689480255,12464.701276594187,13057.786019353633,13450.48780964832,13785.94711485306,14093.177120581999,14767.064213414053,15332.508400873536,15531.217877426963,15957.36852318423,16647.400446169588,17067.129887799623,17411.019547991174,17911.452390021608,18477.104868947517,19397.986803995238,20433.29920978585,20825.413526023312,21056.158181026418,21926.115651003194,22808.58756783364,24444.08835744534,25202.075165858027,26121.65774407934,27056.557011334527
Maldives,86.21446430432648,88.760886223678,92.01601368484056,93.5389121753689,94.66801346649507,97.22752475362608,99.6127767948505,102.9818093868695,105.88854228001296,107.03266641095804,108.93868920241785,110.83947078425449,111.84375655102205,112.93106608904051,116.0354656862633,120.00213505541485,124.1635986997025,124.14851193448841,123.18084404450018,120.5642360215418,122.25909094371364,124.9002237978065,126.14532432645052,131.2260685814743,137.99605980961243,145.8444414023543,154.12346561947774,162.62955533961494
Mongolia,2739.9957694744844,2827.49647433644,2867.6054850249816,2963.1966731837383,3022.9770450781048,3138.448643464157,3205.646271887252,3226.010202918458,3213.7988288490706,3215.695818763922,3215.887901735716,3255.213688782056,3285.641527263887,3322.755892487178,3357.527290090472,3431.4848935923915,3510.599815279457,3584.683033544895,3732.7654202300077,3946.4841403632568,4018.8557578035993,4090.8403583433424,4119.66103180434,4203.556033712614,4284.897616777547,4428.038061077617,4641.23417473805,4810.936605274908
Myanmar,41124.12146814632,41877.06724939492,42586.05141452447,43303.518667629236,44026.54997105122,44731.22082348604,45541.213176150704,46371.33625650323,47223.5567869296,48073.789583884856,48889.44527919586,49754.21074163456,50591.10881100964,51537.254018538166,52458.59967717953,52928.683073747714,53751.98082889849,54267.282485459196,54600.4310368964,54834.31098354928,54887.273477063776,55155.781685160306,55568.44654205331,56312.696977545595,57021.63476808134,57979.513378322765,59089.354563482004,60066.15893602317
Nepal,9405.726322242337,9477.362610552918,9517.174755237564,9642.007779858195,9664.17672045221,9699.234770070405,9682.046277708763,9741.0402175771,9814.729557398236,9906.882232658234,9995.341768541348,10122.145425528333,10325.693901196912,10596.415616305576,10924.211558614914,11342.732561888028,11817.887133159318,12351.933015450906,12865.654174589617,13408.176344339825,13958.473397699876,14639.306253382669,15318.430467714996,15969.506886931766,16573.204269146714,17247.372624887113,17831.705281026316,18314.537075810407
North Korea,22378.731013065844,22988.66000694039,23659.915287745083,24357.194919725986,25067.61327536102,25799.166476978146,26589.535466705853,27423.79565133287,28245.452364450455,29062.3014554628,29914.632662002343,30647.394191904503,31380.250284358364,32087.50255537718,32809.76935469361,33549.0142556849,34331.175553819514,35146.708152383704,35917.966717605384,36616.15044875552,37347.062210042095,38023.25275276733,38705.909801717775,39340.356775643195,39960.1672907971,40583.19910721523,41092.83779260885,41553.26404676245
Oman,575.5616790354592,592.6753704697703,610.1047749725742,618.6908697970265,625.6539170599646,634.9675212263115,645.7143919961392,660.2847869032697,662.6606565168225,658.6378219041193,657.0163930675507,672.5629504356098,687.3907360043173,683.443747282047,671.159973450177,664.8686162375635,692.7252026754738,737.8500066367399,775.2669091836289,810.7451942205242,869.1272363374491,993.703182806671,1103.914836425733,1122.4474200793536,1144.0868159584775,1196.040511579265,1228.92177508534,1276.7544565596213
